ID,TARGET
0000.jpg,BASMATI
0001.jpg,BASMATI
0002.jpg,SIIRT
0003.jpg,KIRMIZI
0004.jpg,BINADHAN25
0005.jpg,KIRMIZI
0006.jpg,BINADHAN16
0007.jpg,BINADHAN16
0008.jpg,BRRI67
0009.jpg,BINADHAN7
0010.jpg,BINADHAN25
0011.jpg,BD30
0012.jpg,BASMATI
0013.jpg,JASMINE
0014.jpg,BINADHAN16
0015.jpg,BINADHAN25
0016.jpg,SIIRT
0017.jpg,BD95
0018.png,AK
0019.jpg,BD95
0020.jpg,ARBORIO
0021.jpg,SIIRT
0022.jpg,BASMATI
0023.jpg,ARBORIO
0024.jpg,KIRMIZI
0025.jpg,BASMATI
0026.jpg,BINADHAN25
0027.jpg,ARBORIO
0028.jpg,IPSALA
0029.jpg,BINADHAN7
0030.png,BUZGULU
0031.jpg,BINADHAN25
0032.png,DIMNIT
0033.jpg,KIRMIZI
0034.jpg,BINADHAN16
0035.jpg,ARBORIO
0036.jpg,KIRMIZI
0037.jpg,BINADHAN7
0038.png,NAZLI
0039.jpg,SIIRT
0040.jpg,BD95
0041.jpg,BR22
0042.jpg,BINADHAN16
0043.jpg,BINADHAN25
0044.jpg,BD72
0045.jpg,BD72
0046.jpg,BR22
0047.jpg,KIRMIZI
0048.jpg,JASMINE
0049.jpg,KIRMIZI
0050.jpg,BINADHAN25
0051.jpg,BD72
0052.jpg,BRRI67
0053.jpg,BD30
0054.jpg,BINADHAN7
0055.jpg,JASMINE
0056.jpg,BD95
0057.jpg,SIIRT
0058.jpg,BASMATI
0059.jpg,ARBORIO
0060.jpg,BINADHAN7
0061.jpg,BASMATI
0062.jpg,BINADHAN25
0063.jpg,IPSALA
0064.jpg,BASMATI
0065.jpg,BD72
0066.jpg,IPSALA
0067.png,NAZLI
0068.jpg,BD30
0069.jpg,BASMATI
0070.jpg,BD72
0071.jpg,BASMATI
0072.jpg,KIRMIZI
0073.jpg,KARACADAG
0074.jpg,JASMINE
0075.jpg,BINADHAN16
0076.jpg,BR22
0077.jpg,IPSALA
0078.jpg,SIIRT
0079.jpg,BR22
0080.png,ALA_IDRIS
0081.jpg,BASMATI
0082.jpg,IPSALA
0083.jpg,BINADHAN25
0084.jpg,IPSALA
0085.jpg,BRRI67
0086.jpg,SIIRT
0087.jpg,BINADHAN16
0088.jpg,BD72
0089.jpg,BD72
0090.jpg,BD95
0091.jpg,JASMINE
0092.jpg,BINADHAN7
0093.jpg,SIIRT
0094.jpg,KIRMIZI
0095.jpg,JASMINE
0096.jpg,BD30
0097.jpg,KIRMIZI
0098.jpg,KARACADAG
0099.jpg,SIIRT
0100.jpg,BINADHAN16
0101.jpg,KIRMIZI
0102.jpg,ARBORIO
0103.jpg,BRRI67
0104.jpg,BASMATI
0105.jpg,JASMINE
0106.jpg,BR22
0107.jpg,BINADHAN25
0108.jpg,ARBORIO
0109.jpg,IPSALA
0110.jpg,JASMINE
0111.jpg,BASMATI
0112.jpg,SIIRT
0113.jpg,BR22
0114.png,DIMNIT
0115.jpg,BD72
0116.png,ALA_IDRIS
0117.jpg,BR22
0118.jpg,BD72
0119.png,NAZLI
0120.jpg,BINADHAN16
0121.jpg,BD95
0122.jpg,SIIRT
0123.jpg,BRRI67
0124.jpg,IPSALA
0125.jpg,BD30
0126.jpg,BASMATI
0127.jpg,BINADHAN16
0128.png,ALA_IDRIS
0129.jpg,BINADHAN7
0130.jpg,BINADHAN16
0131.jpg,BINADHAN16
0132.jpg,JASMINE
0133.jpg,BINADHAN25
0134.jpg,JASMINE
0135.jpg,BINADHAN16
0136.jpg,KARACADAG
0137.jpg,ARBORIO
0138.jpg,BRRI67
0139.jpg,KARACADAG
0140.jpg,BD72
0141.jpg,ARBORIO
0142.jpg,KARACADAG
0143.jpg,BD95
0144.jpg,SIIRT
0145.jpg,KIRMIZI
0146.jpg,BINADHAN16
0147.jpg,SIIRT
0148.jpg,BASMATI
0149.jpg,JASMINE
0150.jpg,BINADHAN16
0151.jpg,JASMINE
0152.jpg,ARBORIO
0153.jpg,JASMINE
0154.jpg,KIRMIZI
0155.jpg,IPSALA
0156.jpg,IPSALA
0157.jpg,ARBORIO
0158.jpg,BINADHAN16
0159.jpg,BINADHAN25
0160.jpg,BD30
0161.jpg,BD72
0162.jpg,ARBORIO
0163.jpg,BASMATI
0164.jpg,BR22
0165.jpg,KARACADAG
0166.png,NAZLI
0167.jpg,BD72
0168.jpg,ARBORIO
0169.jpg,BINADHAN7
0170.jpg,BASMATI
0171.jpg,BINADHAN7
0172.jpg,IPSALA
0173.jpg,BINADHAN16
0174.jpg,BD30
0175.jpg,BRRI67
0176.jpg,BD72
0177.jpg,ARBORIO
0178.jpg,BD95
0179.jpg,BINADHAN7
0180.jpg,ARBORIO
0181.jpg,KIRMIZI
0182.jpg,SIIRT
0183.jpg,IPSALA
0184.jpg,BD30
0185.png,BUZGULU
0186.jpg,BINADHAN7
0187.jpg,KARACADAG
0188.jpg,BD30
0189.jpg,JASMINE
0190.jpg,KARACADAG
0191.jpg,BINADHAN7
0192.jpg,JASMINE
0193.jpg,BD95
0194.jpg,BD72
0195.jpg,IPSALA
0196.jpg,KIRMIZI
0197.jpg,BASMATI
0198.jpg,IPSALA
0199.jpg,ARBORIO
0200.jpg,JASMINE
0201.jpg,BRRI67
0202.jpg,BD30
0203.jpg,IPSALA
0204.jpg,BRRI67
0205.jpg,SIIRT
0206.jpg,IPSALA
0207.jpg,BINADHAN25
0208.jpg,BINADHAN16
0209.jpg,BINADHAN25
0210.jpg,BASMATI
0211.jpg,SIIRT
0212.jpg,KIRMIZI
